해시태그,정규가중치
지수,4.916387959866221
종목,4.916387959866221
산출,4.916387959866221
수요,3.7207357859531776
예측,3.7207357859531776
증권,5.2842809364548495
중국,6.287625418060201
한국,4.063545150501673
의존도,4.063545150501673
수입,4.063545150501673
식품,8.269230769230768
규제,9.046822742474916
문제,9.046822742474916
공장,4.1806020066889635
코로나,3.403010033444817
산업,3.361204013377926
공약,3.361204013377926
에너지,3.361204013377926
태블릿,2.282608695652174
인증,2.282608695652174
격리,5.342809364548495
입국,5.342809364548495
검사,5.342809364548495
참석자,5.342809364548495
플랜,2.0150501672240804
마켓,6.914715719063546
생산,10.0
화재,10.0
선물,6.747491638795987
세트,6.747491638795987
프리미엄,6.747491638795987
호텔,6.747491638795987
할인,2.7424749163879603
쿠폰,2.7424749163879603
최대,2.7424749163879603
