언론사,언론사url,언론사로고url,날짜,기사명,섹션,본문,본문url,회사명,회사종류,좋아요,추천반응수,댓글 수,첫번째이미지url,요약문,키워드1,키워드2,키워드3,키워드4
데일리안,http://www.dailian.co.kr/,https://mimgnews.pstatic.net/image/upload/office_logo/119/2017/12/27/logo_119_38_20171227163327.png,2022-02-16 8:37,"신한금투 ""주가 부진에 주주환원 확대 기업 관심 전망""",경제,주주 목소리 확대 신한금융투자 데일리안 황인욱 기자 신한금융투자는 향후 주주환원 확대를 기대할 만한 기업에 ,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=101&oid=119&aid=0002576256,하이닉스,IDM,0,64,0,https://imgnews.pstatic.net/image/119/2022/02/16/0002576256_001_20220216083701346.jpeg?type=w647,신한금융투자는 향후 주주환원 확대를 기대할 만한 기업에 관심이 커질 것이라고 16일 전망하면서 SK하이닉스 현대차 기아 삼성물산 등이 관련 기업으로 SK하이닉스 현대차 기아 삼성물산 등을 관련 기업으로 꼽았고 최유준 신한금융투자 연구원은 이날 보고서에서 이익 정점을 확인하고 주식시장이 부진한 흐름을 이어가면서 기업은 주가 부양 주주는 주주환원에 관심이 커졌다 고 설명했다.,#주주,#신한,#금융,#투자
뉴스1,http://news1.kr/,https://mimgnews.pstatic.net/image/upload/office_logo/421/2017/12/27/logo_421_38_20171227165727.png,2022-02-16 17:05,"SK하이닉스 이석희 ""용인 클러스터, 올 상반기 착공…진도 잘 나가""",경제, 고객 수요 측면서 올해 사업 견조 원자재 재고 충분 우크라 사태에도 문제없다 반도체 투자활성화 간담회에 참,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=101&oid=421&aid=0005910631,하이닉스,IDM,7,625,2,https://imgnews.pstatic.net/image/421/2022/02/16/0005910631_001_20220217133703117.jpg?type=w647,이석희 SK하이닉스 사장은 16일 서울 소공동 롯데호텔에서 산업자원부 주최로 열린 반도체 투자활성화 간담회에서 일부 토지 보상 등의 문제로 착공이 늦어지고 있다는 보도에 대해 진도가 잘 나가고 있으며 올 상반기에 땅을 팔 수 있다고 밝혔다.,#반도체,#사장,#산업,#활성화
SBS,http://news.sbs.co.kr/,https://mimgnews.pstatic.net/image/upload/office_logo/055/2017/12/27/logo_055_38_20171227162827.png,2022-02-16 4:34,"인텔, 이스라엘 파운드리 업체 '타워 세미컨덕터' 6조 4천억 원에 인수키로",세계,미국 반도체 기업 인텔이 약 6조4천억원에 이스라엘의 반도체 파운드리 기업 타워 세미컨덕터 를 인수하기로 했,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=104&oid=055&aid=0000954024,인텔,IDM,0,1139,2,https://imgnews.pstatic.net/image/055/2022/02/16/0000954024_001_20220216043601228.jpg?type=w647,인 반도체 기업 인텔이 약 6조4천억원에 다양한 제품에 들어가는 반도체와 집적회로를 생산하는 이스라엘의 반도체 파운드리 기업 타워 세미컨덕터 를 인수하기로 했으며 이는 전날 미 나스닥 시장에서 타워의 주가가 33.13달러에 마감한 것에 비춰보면 60 의 프리미엄을 지급하기로 한 것이라고 WSJ는 설명했다.,#반도체,#인텔,#파운드리,#인수
한국경제,http://www.hankyung.com/,https://mimgnews.pstatic.net/image/upload/office_logo/015/2017/12/27/logo_015_38_20171227161527.png,2022-02-16 20:02,"TSMC-일본 '밀월' 깊어진다…""日 신규공장에 10조 투자""",경제,TSMC 로고 사진 로이터 연합뉴스 글로벌 파운드리 반도체 위탁생산 1위인 대만 TSMC가 일본 구마모토현 ,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=101&oid=015&aid=0004664541,소니,IDM,8,1413,28,https://imgnews.pstatic.net/image/015/2022/02/16/0004664541_001_20220216200801073.jpg?type=w647,글로벌 파운드리 반도체 위탁생산 1위인 대만 TSMC가 일본 구마모토현 공장 건설을 위해 계획보다 1800억엔 약 1조9000억원 많은 9800억엔 약 10조1500억원 을 투자한다고 일본 니혼게이자이신문 닛케이 이 16일 보도했는데 생산 능력을 확대하기 위해 지난해 11월 발표 규모보다 투자액을 이같이 늘렸다고 신문은 전했으며 아리마 고지 덴소 사장은 전기 자동차 등 모빌리티 기술이 진화하면서 자동차 산업에서 반도체가 차지하는 비중이 갈수록 커지고 있다 며 이번 파트너십을 통해 중장기적으로 반도체를 안정적으로 수급해 자동차 산업에 기여할 것 이라고 강조했다.,#반도체,#자동차,#생산,#공장
헤럴드경제,http://www.heraldbiz.com/,https://mimgnews.pstatic.net/image/upload/office_logo/016/2017/12/27/logo_016_38_20171227161627.png,2022-02-16 11:23,"“인간의 뇌처럼 연산 기능 갖춘 메모리”…SK하이닉스, 지능형 반도체 PIM 개발",경제,PIM 적용 GDDR6 AiM 제품 세계 최고 권위 학회서 공개 예정 SK하이닉스가 연산 기능을 갖춘 차세대,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=101&oid=016&aid=0001951745,하이닉스,IDM,0,545,0,https://imgnews.pstatic.net/image/016/2022/02/16/20220216000404_0_20220216112308333.jpg?type=w647,16하이닉스가 차세대 메모리 반도체에 연산 기능을 더해 인공지능 AI 와 빅데이터 처리 분야 데이터 이동을 기존보다 원활하게 할 수 있는 차세대 기술인 프로세싱 인 메모리 PIM 을 개발했다고 16일 밝혔으며 이달 말 미국 샌프란시스코에서 열리는 반도체 분야 세계 최고 권위 학회인 2022 ISSCC 에서 PIM 개발 성과를 공개할 예정이다.,#메모리,#연산,#데이터,#기술
디지털데일리,http://ddaily.co.kr/,https://mimgnews.pstatic.net/image/upload/office_logo/138/2017/12/27/logo_138_38_20171227163427.png,2022-02-16 18:15,"차량용 반도체, 올해도 부족…업계 ""파운드리-완성차 협업 필요""",IT, 제2의 공급난 방지 위해 미래 반도체 개발 시급 디지털데일리 김도현 기자 자동차 산업이 작년에 이어 올해도,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=105&oid=138&aid=0002119084,퀄컴,Fabless,0,1147,1,https://imgnews.pstatic.net/image/138/2022/02/16/0002119084_001_20220216181501365.jpg?type=w647,자동차 산업이 올해도 반도체 공급난을 겪을 전망인 가운데 수요 기업과 제조사 간 긴밀한 협업과 칩 개발을 담당하는 반도체 설계 팹리스 업체에 대한 지원책 마련의 필요성이 대두되었다.,#반도체,#업체,#대하,#개발
헤럴드경제,http://www.heraldbiz.com/,https://mimgnews.pstatic.net/image/upload/office_logo/016/2017/12/27/logo_016_38_20171227161627.png,2022-02-16 11:20,노태문 야심작 ‘갤S22’ 역대급 흥행조짐,IT,사전 예약 첫날 분위기 살펴보니 갤럭시S21 시리즈 대비 3 4배 11번가 라방서 132억원어치 판매 자급제,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=105&oid=016&aid=0001951723,삼성전자,IDM,6,428,16,https://imgnews.pstatic.net/image/016/2022/02/16/20220216000383_0_20220216112014166.jpg?type=w647,16일 이동통신업계에 따르면 갤럭시S22 시리즈의 예약 첫날 판매실적이 지난해 갤럭시S21 시리즈 대비 3 4배에 달하고 S펜 내장하고 디자인적인 측면에서도 갤럭시노트 시리즈를 계승하는 갤럭시S22 울트라 예약 비중이 전체의 약 53%를 차지하며 역대급 흥행 조짐을 보이고 있다.,#시리즈,#삼성전자,#울트라,#대비
SBS Biz,https://biz.sbs.co.kr/,https://mimgnews.pstatic.net/image/upload/office_logo/374/2020/12/29/logo_374_38_20201229153142.jpg,2022-02-16 18:14,"삼성, 파운드리 경영진단…‘이재용 복심’ 정현호 M&A 밑그림",경제,동영상 뉴스 앵커 삼성전자 노조 파업은 한 숨 돌렸지만 핵심 사업인 반도체 사업도 녹록지 않습니다. 삼성전자,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=101&oid=374&aid=0000275688,삼성전자,IDM,1,1387,11,none,삼성전자가 지난달부터 대규모 인수합병을 위한 사전 수순으로 반도체 위탁생산 파운드리 사업부에 대한 경영진단에 돌입하며 노조 파업은 한 숨 돌렸지만 핵심 사업인 반도체 사업도 녹록지 않은 상황이다.,#파운드리,#경영,#진단,#삼성
이데일리,http://www.edaily.co.kr/,https://mimgnews.pstatic.net/image/upload/office_logo/018/2017/12/27/logo_018_38_20171227161627.png,2022-02-16 17:01,"글로벌 '쩐의 전쟁' 속…K-반도체, 올해 56조 투자 보따리 푼다",경제,공급망 강화 초격차 유지 위해 10 증액 삼성전자 전체 투자 규모의 7할 차지 인재양성 인허가 신속 처리 등,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=101&oid=018&aid=0005148183,삼성전자,IDM,0,630,1,none,한국반도체협회는 공급망 강화와 초격차 유지 등을 위한 선제 조처로 올해 56조7000억원을 국내에 투자한다고 발표했으며 삼성전자와 SK하이닉스도 메모리반도체 분야에서 후발주자와 초격차를 더 늘리고 파운드리 반도체 위탁생산 분야에서도 TSMC에 한발 앞선 미세 공정을 개발해야 하는 숙명을 안고 있다.,#반도체,#투자,#지원,#산업
조세일보,http://www.joseilbo.com/,https://mimgnews.pstatic.net/image/upload/office_logo/123/2017/12/27/logo_123_38_20171227163327.png,2022-02-16 16:02,"한화투자증권, STEPS 신규고객에 우량주 랜덤 증정 이벤트",경제, 한화투자증권 제공 한화투자증권은 오는 6월 30일까지 주식 투자 앱 STEPS 스텝스 신규고객을 대상으로 ,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=101&oid=123&aid=0002267316,삼성전자,IDM,0,153,0,https://imgnews.pstatic.net/image/123/2022/02/16/0002267316_001_20220216160201420.jpg?type=w647,"한 6월 30일까지 한화투자증권은 주식 투자 앱 STEPS 스텝스 신규고객을 대상으로 선착순 3만명에게 삼성전자 현대차 NAVER 카카오 등 국내 우량 주식 1주를 랜덤으로 증정하는 이벤트 럭키 드로우 시즌2 를 진행하며, 생애 최초 신규 계좌를 개설하거나 해외주식 서비스를 최초로 신청한 고객을 대상으로 웰컴팩 이벤트도 함께 열린다.",#주식,#투자,#혜택,#고객
