해시태그,정규가중치
공장,7.148903153
계획,4.708330394
유로,7.159483671
질문,5.071594837
컨벤션,5.071594837
센터,7.434577132
우려,2.786203005
전일,4.031177259
상승,6.909078084
시설,2.352401778
사업,6.048529308
성장,7.600338577
자문,2.024405728
업계,8.94406433
상공,2.803837201
노조,3.156521126
요구,3.156521126
성과급,3.156521126
점유율,11.39874445
포인트,2.757988291
웨이퍼,3.593849192
증설,2.380616492
인수,6.193129717
코스닥,2.694505184
오전,3.875996332
대비,3.283487339
확대,4.408549058
총회,5.625308598
유신,3.001340199
발매,3.001340199
회사,9.794032588
한국,4.278056006
시각,2.690978345
가운데,2.690978345
장비,4.489666361
공정,6.08732454
제조,3.505678211
세계,2.6239684
확장,2.6239684
마감,5.191507371
원자재,5.145658461
엔솔,5.145658461
공매도,5.145658461
벤치,6.902024406
마크,6.902024406
씽크,2.236016082
패드,2.236016082
세대,2.236016082
전문,4.327431756
영상,4.334485434
상의,4.327431756
기획,6.182549199
분과,6.182549199
대기업,4.30627072
스타트,7.30408408
도입,4.30627072
뉴욕,6.397686393
디스플레이,4.415602737
특허,11.39874445
투명,4.415602737
출원,4.415602737
뱅크,2.539324258
회장,3.533892925
하스,2.539324258
한화,2.017352049
거래소,5.628835438
어텍,3.925372082
미디,3.925372082
포스,7.494533399
사우디,2.613387882
전자,7.970656697
협상,2.408831205
주총,9.928052479
사내,5.755801651
매입,5.932143613
이번,5.932143613
보유,5.932143613
종목,2.264230796
개인,4.380334344
매수,4.380334344
데이터,10.90498695
메모리,10.60167878
코로나,2.451153276
비중,2.796783523
네이버,2.796783523
플랫폼,7.099527404
소송,6.97608803
대리,6.97608803
침해,6.97608803
매도,8.954644847
아이,11.28235875
애플,7.381674543
개발,6.327149609
개발비,2.186640333
연구,2.186640333
콘텐츠,2.384143331
지원,9.22268463
증권사,8.221062284
화학,5.903928899
사면,11.04606052
청와대,4.570783664
전장,5.724060097
고려대,4.630739931
의료,4.630739931
의료원,4.630739931
발열,4.990477534
사용자,4.990477534
회동,11.20476829
시인,2.20074769
사랑,2.20074769
올해,2.853212951
설계,3.593849192
경영,2.306552867
재판,2.306552867
행보,2.306552867
오너,4.041757777
일본,4.041757777
색상,2.352401778
그린,2.352401778
배당,3.354024124
예상,3.354024124
가치,3.149467447
해킹,10.61225929
주식,5.325527262
카카오,3.597376032
육성,10.51350779
실장,3.174155322
뇌물,3.174155322
시험,5.498342386
규제,2.394723848
배터리,2.394723848
성능,3.149467447
사태,2.560485293
제재,8.28454539
인도,2.05967412
분석,4.133455597
국민,5.85102631
삼성전자,8.993440079
원,8.993440079
일,8.993440079
자동차,8.961698526
프로젝트,8.961698526
공격,9.769344713
평가,3.738449601
로이터,9.822247302
마리,9.822247302
소액,4.479085843
제품군,2.680397827
사과,7.949495662
마블,3.5585808
닥터,3.5585808
레인지,3.5585808
엑스,3.5585808
사업자,9.853988855
연합,11.50454962
뉴스,11.50454962
전실,11.50454962
조리,3.46335614
세제곱미터,4.986950695
사고,9.896310926
인력,6.616350427
기준,2.585173168
주장,9.769344713
클로바,2.828525076
음성,2.828525076
인식,2.828525076
노트,2.828525076
